ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
summary,summary,bayesian,,summary,,summary,
STATE_1,STATE_1,bayesian,,sample,,posterior,
STATE_2,STATE_2,bayesian,,sample,,posterior,
STATE_3,STATE_3,bayesian,,sample,,posterior,
STATE_4,STATE_4,bayesian,,sample,,posterior,
STATE_5,STATE_5,bayesian,,sample,,posterior,
STATE_6,STATE_6,bayesian,,sample,,posterior,
STATE_7,STATE_7,bayesian,,sample,,posterior,
STATE_8,STATE_8,bayesian,,sample,,posterior,
STATE_9,STATE_9,bayesian,,sample,,posterior,
STATE_10,STATE_10,bayesian,,sample,,posterior,
STATE_11,STATE_11,bayesian,,sample,,posterior,
STATE_12,STATE_12,bayesian,,sample,,posterior,
STATE_13,STATE_13,bayesian,,sample,,posterior,
STATE_14,STATE_14,bayesian,,sample,,posterior,
STATE_15,STATE_15,bayesian,,sample,,posterior,
STATE_16,STATE_16,bayesian,,sample,,posterior,
STATE_17,STATE_17,bayesian,,sample,,posterior,
STATE_18,STATE_18,bayesian,,sample,,posterior,
STATE_19,STATE_19,bayesian,,sample,,posterior,
STATE_20,STATE_20,bayesian,,sample,,posterior,
STATE_21,STATE_21,bayesian,,sample,,posterior,
STATE_22,STATE_22,bayesian,,sample,,posterior,
STATE_23,STATE_23,bayesian,,sample,,posterior,
STATE_24,STATE_24,bayesian,,sample,,posterior,
STATE_25,STATE_25,bayesian,,sample,,posterior,
STATE_26,STATE_26,bayesian,,sample,,posterior,
STATE_27,STATE_27,bayesian,,sample,,posterior,
STATE_28,STATE_28,bayesian,,sample,,posterior,
STATE_29,STATE_29,bayesian,,sample,,posterior,
STATE_30,STATE_30,bayesian,,sample,,posterior,
STATE_31,STATE_31,bayesian,,sample,,posterior,
STATE_32,STATE_32,bayesian,,sample,,posterior,
STATE_33,STATE_33,bayesian,,sample,,posterior,
STATE_34,STATE_34,bayesian,,sample,,posterior,
STATE_35,STATE_35,bayesian,,sample,,posterior,
STATE_36,STATE_36,bayesian,,sample,,posterior,
STATE_37,STATE_37,bayesian,,sample,,posterior,
STATE_38,STATE_38,bayesian,,sample,,posterior,
STATE_39,STATE_39,bayesian,,sample,,posterior,
STATE_40,STATE_40,bayesian,,sample,,posterior,
STATE_41,STATE_41,bayesian,,sample,,posterior,
STATE_42,STATE_42,bayesian,,sample,,posterior,
STATE_43,STATE_43,bayesian,,sample,,posterior,
STATE_44,STATE_44,bayesian,,sample,,posterior,
STATE_45,STATE_45,bayesian,,sample,,posterior,
STATE_46,STATE_46,bayesian,,sample,,posterior,
STATE_47,STATE_47,bayesian,,sample,,posterior,
STATE_48,STATE_48,bayesian,,sample,,posterior,
STATE_49,STATE_49,bayesian,,sample,,posterior,
STATE_50,STATE_50,bayesian,,sample,,posterior,
STATE_51,STATE_51,bayesian,,sample,,posterior,
STATE_52,STATE_52,bayesian,,sample,,posterior,
STATE_53,STATE_53,bayesian,,sample,,posterior,
STATE_54,STATE_54,bayesian,,sample,,posterior,
STATE_55,STATE_55,bayesian,,sample,,posterior,
STATE_56,STATE_56,bayesian,,sample,,posterior,
STATE_57,STATE_57,bayesian,,sample,,posterior,
STATE_58,STATE_58,bayesian,,sample,,posterior,
STATE_59,STATE_59,bayesian,,sample,,posterior,
STATE_60,STATE_60,bayesian,,sample,,posterior,
STATE_61,STATE_61,bayesian,,sample,,posterior,
STATE_62,STATE_62,bayesian,,sample,,posterior,
STATE_63,STATE_63,bayesian,,sample,,posterior,
STATE_64,STATE_64,bayesian,,sample,,posterior,
STATE_65,STATE_65,bayesian,,sample,,posterior,
STATE_66,STATE_66,bayesian,,sample,,posterior,
STATE_67,STATE_67,bayesian,,sample,,posterior,
STATE_68,STATE_68,bayesian,,sample,,posterior,
STATE_69,STATE_69,bayesian,,sample,,posterior,
STATE_70,STATE_70,bayesian,,sample,,posterior,
STATE_71,STATE_71,bayesian,,sample,,posterior,
STATE_72,STATE_72,bayesian,,sample,,posterior,
STATE_73,STATE_73,bayesian,,sample,,posterior,
STATE_74,STATE_74,bayesian,,sample,,posterior,
STATE_75,STATE_75,bayesian,,sample,,posterior,
STATE_76,STATE_76,bayesian,,sample,,posterior,
STATE_77,STATE_77,bayesian,,sample,,posterior,
STATE_78,STATE_78,bayesian,,sample,,posterior,
STATE_79,STATE_79,bayesian,,sample,,posterior,
STATE_80,STATE_80,bayesian,,sample,,posterior,
STATE_81,STATE_81,bayesian,,sample,,posterior,
STATE_82,STATE_82,bayesian,,sample,,posterior,
STATE_83,STATE_83,bayesian,,sample,,posterior,
STATE_84,STATE_84,bayesian,,sample,,posterior,
STATE_85,STATE_85,bayesian,,sample,,posterior,
STATE_86,STATE_86,bayesian,,sample,,posterior,
STATE_87,STATE_87,bayesian,,sample,,posterior,
STATE_88,STATE_88,bayesian,,sample,,posterior,
STATE_89,STATE_89,bayesian,,sample,,posterior,
STATE_90,STATE_90,bayesian,,sample,,posterior,
STATE_91,STATE_91,bayesian,,sample,,posterior,
STATE_92,STATE_92,bayesian,,sample,,posterior,
STATE_93,STATE_93,bayesian,,sample,,posterior,
STATE_94,STATE_94,bayesian,,sample,,posterior,
STATE_95,STATE_95,bayesian,,sample,,posterior,
STATE_96,STATE_96,bayesian,,sample,,posterior,
STATE_97,STATE_97,bayesian,,sample,,posterior,
STATE_98,STATE_98,bayesian,,sample,,posterior,
STATE_99,STATE_99,bayesian,,sample,,posterior,
STATE_100,STATE_100,bayesian,,sample,,posterior,
STATE_101,STATE_101,bayesian,,sample,,posterior,
STATE_102,STATE_102,bayesian,,sample,,posterior,
STATE_103,STATE_103,bayesian,,sample,,posterior,
STATE_104,STATE_104,bayesian,,sample,,posterior,
STATE_105,STATE_105,bayesian,,sample,,posterior,
STATE_106,STATE_106,bayesian,,sample,,posterior,
STATE_107,STATE_107,bayesian,,sample,,posterior,
STATE_108,STATE_108,bayesian,,sample,,posterior,
STATE_109,STATE_109,bayesian,,sample,,posterior,
STATE_110,STATE_110,bayesian,,sample,,posterior,
STATE_111,STATE_111,bayesian,,sample,,posterior,
STATE_112,STATE_112,bayesian,,sample,,posterior,
STATE_113,STATE_113,bayesian,,sample,,posterior,
STATE_114,STATE_114,bayesian,,sample,,posterior,
STATE_115,STATE_115,bayesian,,sample,,posterior,
STATE_116,STATE_116,bayesian,,sample,,posterior,
STATE_117,STATE_117,bayesian,,sample,,posterior,
STATE_118,STATE_118,bayesian,,sample,,posterior,
STATE_119,STATE_119,bayesian,,sample,,posterior,
STATE_120,STATE_120,bayesian,,sample,,posterior,
STATE_121,STATE_121,bayesian,,sample,,posterior,
STATE_122,STATE_122,bayesian,,sample,,posterior,
STATE_123,STATE_123,bayesian,,sample,,posterior,
STATE_124,STATE_124,bayesian,,sample,,posterior,
STATE_125,STATE_125,bayesian,,sample,,posterior,
STATE_126,STATE_126,bayesian,,sample,,posterior,
STATE_127,STATE_127,bayesian,,sample,,posterior,
STATE_128,STATE_128,bayesian,,sample,,posterior,
STATE_129,STATE_129,bayesian,,sample,,posterior,
STATE_130,STATE_130,bayesian,,sample,,posterior,
STATE_131,STATE_131,bayesian,,sample,,posterior,
STATE_132,STATE_132,bayesian,,sample,,posterior,
STATE_133,STATE_133,bayesian,,sample,,posterior,
STATE_134,STATE_134,bayesian,,sample,,posterior,
STATE_135,STATE_135,bayesian,,sample,,posterior,
STATE_136,STATE_136,bayesian,,sample,,posterior,
STATE_137,STATE_137,bayesian,,sample,,posterior,
STATE_138,STATE_138,bayesian,,sample,,posterior,
STATE_139,STATE_139,bayesian,,sample,,posterior,
STATE_140,STATE_140,bayesian,,sample,,posterior,
STATE_141,STATE_141,bayesian,,sample,,posterior,
STATE_142,STATE_142,bayesian,,sample,,posterior,
STATE_143,STATE_143,bayesian,,sample,,posterior,
STATE_144,STATE_144,bayesian,,sample,,posterior,
STATE_145,STATE_145,bayesian,,sample,,posterior,
STATE_146,STATE_146,bayesian,,sample,,posterior,
STATE_147,STATE_147,bayesian,,sample,,posterior,
STATE_148,STATE_148,bayesian,,sample,,posterior,
STATE_149,STATE_149,bayesian,,sample,,posterior,
STATE_150,STATE_150,bayesian,,sample,,posterior,
STATE_151,STATE_151,bayesian,,sample,,posterior,
STATE_152,STATE_152,bayesian,,sample,,posterior,
STATE_153,STATE_153,bayesian,,sample,,posterior,
STATE_154,STATE_154,bayesian,,sample,,posterior,
STATE_155,STATE_155,bayesian,,sample,,posterior,
STATE_156,STATE_156,bayesian,,sample,,posterior,
STATE_157,STATE_157,bayesian,,sample,,posterior,
STATE_158,STATE_158,bayesian,,sample,,posterior,
STATE_159,STATE_159,bayesian,,sample,,posterior,
STATE_160,STATE_160,bayesian,,sample,,posterior,
STATE_161,STATE_161,bayesian,,sample,,posterior,
STATE_162,STATE_162,bayesian,,sample,,posterior,
STATE_163,STATE_163,bayesian,,sample,,posterior,
STATE_164,STATE_164,bayesian,,sample,,posterior,
STATE_165,STATE_165,bayesian,,sample,,posterior,
STATE_166,STATE_166,bayesian,,sample,,posterior,
STATE_167,STATE_167,bayesian,,sample,,posterior,
STATE_168,STATE_168,bayesian,,sample,,posterior,
STATE_169,STATE_169,bayesian,,sample,,posterior,
STATE_170,STATE_170,bayesian,,sample,,posterior,
STATE_171,STATE_171,bayesian,,sample,,posterior,
STATE_172,STATE_172,bayesian,,sample,,posterior,
STATE_173,STATE_173,bayesian,,sample,,posterior,
STATE_174,STATE_174,bayesian,,sample,,posterior,
STATE_175,STATE_175,bayesian,,sample,,posterior,
STATE_176,STATE_176,bayesian,,sample,,posterior,
STATE_177,STATE_177,bayesian,,sample,,posterior,
STATE_178,STATE_178,bayesian,,sample,,posterior,
STATE_179,STATE_179,bayesian,,sample,,posterior,
STATE_180,STATE_180,bayesian,,sample,,posterior,
STATE_181,STATE_181,bayesian,,sample,,posterior,
STATE_182,STATE_182,bayesian,,sample,,posterior,
STATE_183,STATE_183,bayesian,,sample,,posterior,
STATE_184,STATE_184,bayesian,,sample,,posterior,
STATE_185,STATE_185,bayesian,,sample,,posterior,
STATE_186,STATE_186,bayesian,,sample,,posterior,
STATE_187,STATE_187,bayesian,,sample,,posterior,
STATE_188,STATE_188,bayesian,,sample,,posterior,
STATE_189,STATE_189,bayesian,,sample,,posterior,
STATE_190,STATE_190,bayesian,,sample,,posterior,
STATE_191,STATE_191,bayesian,,sample,,posterior,
STATE_192,STATE_192,bayesian,,sample,,posterior,
STATE_193,STATE_193,bayesian,,sample,,posterior,
STATE_194,STATE_194,bayesian,,sample,,posterior,
STATE_195,STATE_195,bayesian,,sample,,posterior,
STATE_196,STATE_196,bayesian,,sample,,posterior,
STATE_197,STATE_197,bayesian,,sample,,posterior,
STATE_198,STATE_198,bayesian,,sample,,posterior,
STATE_199,STATE_199,bayesian,,sample,,posterior,
STATE_200,STATE_200,bayesian,,sample,,posterior,
STATE_201,STATE_201,bayesian,,sample,,posterior,
STATE_202,STATE_202,bayesian,,sample,,posterior,
STATE_203,STATE_203,bayesian,,sample,,posterior,
STATE_204,STATE_204,bayesian,,sample,,posterior,
STATE_205,STATE_205,bayesian,,sample,,posterior,
STATE_206,STATE_206,bayesian,,sample,,posterior,
STATE_207,STATE_207,bayesian,,sample,,posterior,
STATE_208,STATE_208,bayesian,,sample,,posterior,
STATE_209,STATE_209,bayesian,,sample,,posterior,
STATE_210,STATE_210,bayesian,,sample,,posterior,
STATE_211,STATE_211,bayesian,,sample,,posterior,
STATE_212,STATE_212,bayesian,,sample,,posterior,
STATE_213,STATE_213,bayesian,,sample,,posterior,
STATE_214,STATE_214,bayesian,,sample,,posterior,
STATE_215,STATE_215,bayesian,,sample,,posterior,
STATE_216,STATE_216,bayesian,,sample,,posterior,
STATE_217,STATE_217,bayesian,,sample,,posterior,
STATE_218,STATE_218,bayesian,,sample,,posterior,
STATE_219,STATE_219,bayesian,,sample,,posterior,
STATE_220,STATE_220,bayesian,,sample,,posterior,
STATE_221,STATE_221,bayesian,,sample,,posterior,
STATE_222,STATE_222,bayesian,,sample,,posterior,
STATE_223,STATE_223,bayesian,,sample,,posterior,
STATE_224,STATE_224,bayesian,,sample,,posterior,
STATE_225,STATE_225,bayesian,,sample,,posterior,
