taxon,glottocode
BakokoA43b,bako1249
BembaM42,bemb1257
BinjaD241,song1300
BiraD322,bera1259
BubiA31,bube1242
CagaE621,moch1256
CewaN31b,chew1246
CiokweK11,chok1245
DigoE731,digo1243
DokoC40D,doko1244
DualaA242,pong1251
Ejagham800,ejag1239
FangA751,ntum1238
GandaJ15,gand1255
GangelaK19,nyem1238
GikuyuE51,kiku1240
GiryamaE72a1,giry1241
GogoG11,gogo1263
HadimuG43c,pemb1239
HayaJ22H,haya1250
HereroR31,here1253
HimaJ13,hima1248
HundeJ51,hund1239
KaguruG12,kagu1239
KambaE55,kamb1297
KaondeL42,kaon1241
KelaC75,kela1254
KotaB251,sake1247
KumuD372,komo1260
KundaN42,kund1255
LalaM52,lala1264
LambaM54,lamb1271
LegaD253,lega1249
LeleC841,bush1247
LikileC57,kele1255
LingalaC36,ling1263
LoziS34,lozi1239
LubaL33,luba1250
LuguruG35,lugu1238
LwenaK141,luva1239
MadzingB80Mp1,mpii1240
MakwaP311,makh1264
MambweM15,mamb1296
MbesaC51,mbes1238
MongoC613,mong1338
MongoNkundoC611,mong1338
MpongweB11a,myen1241
NdauS15,ndau1241
NdebeleS44,zulu1248
NdembuK221,ndem1248
NdongaR22,ndon1254
NgombeC41,ngom1268
NgoniS45,tanz1241
NguluG34,ngul1246
NyakyusaM312,nyak1260
NyamweziF22,nyam1276
NyanjaN31a,nyan1308
NyasaN31,nyan1308
PokomoE711,poko1261
PukuA321,bata1285
RundiJ62,rund1242
RwandaJ611,kiny1244
SagalaE74b,saga1256
SakataC34,saka1287
SenaN44,nucl1396
ShambalaG23,sham1280
ShiJ53,shii1238
ShonaS10,shon1251
SikongoH16h,east2782
SogaJ16,soga1242
SongeD10S,song1303
SothoS33,sout2807
SukuH32,suku1259
SukumaF21,suku1261
SumbwaF23,sumb1240
SundiH16i4,suun1239
SwatiS43,swat1243
TekeB735,teke1276
TetelaC711,tete1250
Tiv802,tivv1240
TongaM641,tong1318
TsogoB31,tsog1243
TsongaS53,tson1249
TswanaS31,tswa1253
TumbukaN212,tumb1250
UmbunduR111,umbu1257
VendaS21,vend1245
XhosaS41,xhos1239
YakaH314,yaka1269
YakaKasongoH312,yaka1269
YaoP212,yaoo1241
YombeH12b1,yomb1244
ZigulaG31,zigu1244
ZinzaJ23,zinz1238
ZuluS42,zulu1248
